ax,ay,az,mx,my,mz
-0.000625697,0.0436344,-1.00853,0.13034,0.10486,-0.15792
-0.0170804,0.0808062,-1.00714,0.13328,0.10444,-0.1603
-0.0227081,0.0759045,-0.995567,0.13454,0.10682,-0.16072
-0.0283357,0.0570998,-0.984977,0.13972,0.10234,-0.15848
-0.01549,0.0253779,-0.989909,0.14168,0.10626,-0.16142
-0.00484643,-0.0124082,-0.993002,0.14084,0.1064,-0.15806
-0.0247267,-0.0535117,-0.998274,0.14406,0.11116,-0.15722
-0.0543942,-0.0469067,-1.01146,0.14154,0.10878,-0.15974
-0.0647319,-0.0182463,-1.01228,0.14378,0.1057,-0.16268
-0.0709713,-0.00802009,-0.997711,0.1491,0.10332,-0.16058
-0.0660777,-0.00728352,-0.988737,0.14756,0.10724,-0.15876
-0.0403862,0.0114053,-0.999748,0.14826,0.1071,-0.16226
-0.00894483,0.036772,-1.00833,0.14812,0.10458,-0.16226
-0.00753792,0.0316277,-1.00497,0.14882,0.10542,-0.16492
-0.0133491,0.0109855,-0.996215,0.15092,0.105,-0.16464
-0.0175698,0.0228048,-1.00317,0.14994,0.10752,-0.16338
-0.0240538,0.016188,-1.00664,0.15456,0.1078,-0.16926
-0.0274182,0.00626481,-1.00449,0.15778,0.1099,-0.16394
-0.0133491,0.0188251,-1.0063,0.15862,0.1141,-0.1694
-0.0231975,0.0320513,-0.996368,0.15792,0.10738,-0.16996
-0.0203836,0.0712505,-1.0108,0.15582,0.112,-0.16716
-0.0257666,0.0801908,-1.0161,0.1561,0.11116,-0.16968
-0.0247267,0.144685,-1.03174,0.1631,0.10878,-0.17122
-0.00747675,0.193076,-1.05012,0.16548,0.10976,-0.16828
-0.00747675,0.129685,-1.00734,0.16464,0.11102,-0.16366
-0.0391628,0.0539726,-0.959086,0.16968,0.1134,-0.1666
-0.0594713,0.023526,-0.951271,0.16996,0.11116,-0.16898
-0.0587984,-0.0499093,-0.945172,0.1687,0.11074,-0.16352
-0.0216682,-0.0733548,-0.937696,0.17346,0.11522,-0.16212
-0.0083943,-0.0644084,-0.939626,0.1701,0.10948,-0.16352
0.00396206,0.0234243,-0.962328,0.17248,0.11256,-0.16492
0.0215179,0.088536,-0.975937,0.17024,0.11452,-0.16464
0.0284301,0.162464,-0.997831,0.17136,0.1169,-0.16408
0.0144221,0.169135,-1.00281,0.17696,0.11466,-0.16898
-0.02124,0.119636,-0.996908,0.17514,0.11984,-0.1645
-0.0268677,0.0890101,-0.997815,0.1743,0.11774,-0.17108
-0.0282134,0.0860698,-1.00087,0.17836,0.12012,-0.16926
-0.0349421,0.0993582,-1.00708,0.1771,0.11886,-0.1673
-0.023381,0.0523854,-1.00902,0.17836,0.11606,-0.16604
-0.0244209,0.00424463,-1.00468,0.17584,0.11928,-0.16954
-0.0468091,-0.0179342,-1.00854,0.1736,0.11606,-0.16366
-0.0542719,0.0204041,-1.01976,0.17444,0.11774,-0.16744
-0.0548836,0.0646245,-1.01853,0.17962,0.12096,-0.175
-0.0347586,0.0845365,-1.01363,0.17682,0.1169,-0.16758
-0.0309661,0.0989308,-1.00899,0.17416,0.1169,-0.1666
-0.0167746,0.0834399,-0.998577,0.18032,0.11788,-0.17122
-0.00931185,0.0740715,-0.990284,0.1792,0.11452,-0.16548
-0.00704855,0.0763996,-0.984115,0.18116,0.11774,-0.16828
-0.0154289,0.0713746,-0.98073,0.17892,0.1169,-0.16282
-0.0189767,0.0578378,-0.980234,0.18144,0.11578,-0.16114
-0.0247267,0.0519562,-0.981075,0.18004,0.11606,-0.16366
-0.0271123,0.0682472,-0.987302,0.1792,0.11746,-0.1666
-0.0285804,0.0597333,-0.985832,0.18018,0.11522,-0.16828
-0.0214847,0.0566733,-0.973196,0.18508,0.1169,-0.17052
-0.0116975,0.046142,-0.963443,0.18606,0.11284,-0.1694
-0.0136549,0.00161452,-0.953173,0.1855,0.11228,-0.16408
-0.0165299,-0.0494667,-0.946449,0.17948,0.11634,-0.1659
-0.0283357,-0.0506955,-0.942565,0.18522,0.11228,-0.16674
-0.0290698,0.0088979,-0.957165,0.19278,0.11382,-0.1624
