ax,ay,az
-0.0131836,-0.734436,-0.648499
-0.0142212,-0.749268,-0.648743
-0.0291138,-0.734924,-0.645874
-0.0155029,-0.736633,-0.645996
-0.0145264,-0.735596,-0.649536
-0.0126953,-0.737183,-0.650513
-0.0150757,-0.736206,-0.652283
-0.0143433,-0.737732,-0.647156
-0.0140991,-0.735779,-0.649048
-0.0131836,-0.736755,-0.647156
-0.0305176,-0.734009,-0.64801
-0.0302734,-0.736084,-0.647583
-0.0147095,-0.734375,-0.646301
-0.0133667,-0.733826,-0.649414
-0.015564,-0.735962,-0.648682
-0.0153809,-0.73761,-0.647156
-0.0133057,-0.733337,-0.649475
-0.0151367,-0.737244,-0.647461
-0.0303345,-0.733765,-0.645142
-0.0166626,-0.735474,-0.645447
-0.0162354,-0.733887,-0.650269
-0.0150757,-0.735291,-0.650391
-0.0114746,-0.736816,-0.647461
-0.0152588,-0.735229,-0.645264
-0.0158691,-0.734924,-0.646545
-0.0174561,-0.736572,-0.64917
-0.0140991,-0.736206,-0.64917
-0.0162964,-0.735901,-0.648682
-0.0147095,-0.736206,-0.651306
-0.0154419,-0.736206,-0.64801
-0.0144043,-0.736206,-0.647217
-0.000793457,-0.73761,-0.645874
-0.0136108,-0.73645,-0.645752
-0.0170288,-0.736328,-0.64801
-0.0148315,-0.734009,-0.649292
-0.0143433,-0.736511,-0.651611
-0.0143433,-0.73645,-0.64917
-0.0146484,-0.737,-0.643921
-0.0147705,-0.733459,-0.648071
-0.0172119,-0.73468,-0.648193
-0.0122681,-0.736633,-0.647705
-0.0137329,-0.737854,-0.647705
-0.0153198,-0.734985,-0.648071
-0.0150146,-0.736084,-0.648499
-0.0155029,-0.73645,-0.649841
-0.013855,-0.736511,-0.64856
-0.0139771,-0.739441,-0.645996
-0.013916,-0.738892,-0.643066
-0.013855,-0.735718,-0.646606
-0.0134888,-0.736145,-0.649231
-0.0153809,-0.73645,-0.649475
-0.0157471,-0.737183,-0.647217
-0.0136108,-0.737427,-0.646973
-0.0159302,-0.735229,-0.649475
-0.0137329,-0.736694,-0.648254
-0.0143433,-0.736572,-0.646851
-0.013916,-0.737183,-0.646973
-0.0140991,-0.737671,-0.647827
-0.0153809,-0.730835,-0.650696
-0.0148926,-0.734253,-0.650024
-0.0186768,-0.73822,-0.650146
-0.0168457,-0.736572,-0.645447
-0.0148315,-0.735657,-0.647339
-0.0185547,-0.734375,-0.650146
-0.0141602,-0.734802,-0.649048
-0.0158081,-0.736511,-0.647461
